08923: Maritime transport statistics. Cargo and number of units, by commodity, flag, loaded/unloaded, domestic/foreign, quarter, contents and port;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
commodity;flag;loaded/unloaded;domestic/foreign;quarter;contents;Fredrikstad (Borg);Moss;Oslo;Drammen;Tønsberg;Sandefjord;Larvik;Porsgrunn (Grenland);Kristiansand;Farsund;Kvinesdal;Egersund;Stavanger;Sauda;Haugesund (Karmsund);Bergen and Omland;Florø;Svelgen (Bremanger);Måløy (Nordfjord);Ålesund;Molde;Kristiansund;Trondheim;Verdal;Brønnøysund (Brønnøy);Helgeland havn;Mo i Rana;Bodø;Narvik;Harstad;Tromsø;Hammerfest;Sveagruva;Kirkenes;Norway - Unspecified, quarterly survey
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Domestic;2012K1;Cargo (tonnes);0;0;0;0;0;0;1726;0;0;0;0;0;4500;0;0;475;0;0;0;0;1800;0;7799;0;0;0;0;0;0;0;1;0;0;0;0
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Domestic;2012K2;Cargo (tonnes);0;0;1603;0;0;0;1904;0;0;0;0;0;1700;0;47;623;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Domestic;2012K3;Cargo (tonnes);0;0;0;0;0;0;0;0;0;0;0;0;1000;0;2071;506;0;0;6;0;0;85;0;0;0;0;0;0;0;0;2;0;0;0;0
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Domestic;2012K4;Cargo (tonnes);0;0;0;0;0;0;0;0;0;0;0;0;825;0;250;30;0;0;0;3950;0;0;0;0;0;0;0;0;0;0;33;0;38;0;0
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Domestic;2013K1;Cargo (tonnes);0;0;0;0;0;0;0;0;0;0;0;0;2497;0;0;122;307;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Domestic;2013K2;Cargo (tonnes);0;0;0;0;0;0;0;0;0;0;0;0;1750;0;0;480;0;0;0;0;0;0;458;0;0;0;0;0;0;0;3585;0;0;0;0
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Domestic;2013K3;Cargo (tonnes);0;0;0;0;0;0;0;0;0;0;0;0;4000;0;0;329;0;0;0;0;0;0;69;0;0;0;0;0;0;0;0;0;0;0;0
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Domestic;2013K4;Cargo (tonnes);0;0;0;0;0;0;0;0;0;0;0;0;0;0;712;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;273;0;0;0;0
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Domestic;2014K1;Cargo (tonnes);0;0;0;0;0;0;0;0;0;0;0;0;4300;0;0;60;0;0;0;0;0;0;1376;0;0;0;0;0;0;0;185;0;0;0;0
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Domestic;2014K2;Cargo (tonnes);5730;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;624;0;0;0;0;0;85;0;0;0;0;0;0
